City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,novyy urengoy,66.0833,76.6333,-16.02,98,100,4.44,RU,1733598977
222,tabou,4.423,-7.3528,26.9,78,11,3.31,CI,1733599085
223,praia da vitoria,38.7333,-27.0667,16.89,92,13,3.29,PT,1733598560
224,aoulef,26.9667,1.0833,16.87,22,0,2.48,DZ,1733599087
225,katsuren-haebaru,26.3369,127.8719,18.21,89,100,6.69,JP,1733599088
226,new plymouth,-39.0667,174.0833,16.56,100,100,3.37,NZ,1733599089
227,muroto-misakicho,33.2833,134.15,11.53,61,100,8.56,JP,1733599090
228,fort st. john,56.2499,-120.8529,0.94,86,100,1.03,CA,1733599091
229,ambazac,45.9598,1.4006,4.18,89,100,5.82,FR,1733599092
230,sitka,57.0531,-135.33,7.94,66,100,3.6,US,1733598522
231,holualoa,19.6228,-155.9522,24.37,64,0,2.57,US,1733598511
232,brandon,27.9378,-82.2859,21.15,54,0,1.79,US,1733599046
233,codajas,-3.8367,-62.0569,30.45,62,97,2.52,BR,1733599097
234,contamana,-7.3333,-75.0167,30.33,68,92,1.52,PE,1733599098
235,minas de marcona,-15.2119,-75.1103,21.28,56,100,8.15,PE,1733599099
236,yuzhno-kurilsk,44.0306,145.8556,-2.82,61,66,0.98,RU,1733599100
237,heihe,50.2441,127.4902,-15.68,87,13,2.54,CN,1733599101
238,dunedin,-45.8742,170.5036,12.67,97,100,3.13,NZ,1733598567
239,robore,-18.3333,-59.75,33.05,58,75,3.09,BO,1733599104
240,mil'kovo,55.6078,37.7956,-0.92,61,100,5.69,RU,1733599105
241,vorgashor,67.5833,63.95,-16.6,98,100,4.29,RU,1733599106
242,kutum,14.2,24.6667,22.47,26,96,2.65,SD,1733599107
243,piton saint-leu,-21.2196,55.3151,23.06,65,0,1.54,RE,1733599102
244,okhotsk,59.3833,143.3,-15.52,83,34,6.06,RU,1733599109
245,punta arenas,-53.15,-70.9167,14.06,44,40,12.35,CL,1733598543
246,ugleural'skiy,58.9534,57.5846,-12.67,81,100,0.95,RU,1733599112
247,tura,25.5198,90.2201,14.58,90,0,1.84,IN,1733599113
248,galle,6.0367,80.217,27.74,80,98,1.03,LK,1733599114
249,fortuna,40.5982,-124.1573,12.77,100,100,2.57,US,1733599115
250,santa terezinha,-29.9002,-50.0904,20.53,82,100,3.99,BR,1733599116
251,colonia,50.9333,6.95,8.13,76,40,5.14,DE,1733598918
252,ilha de mocambique,-15.0342,40.7358,27.83,80,15,5.36,MZ,1733599119
253,ylitornio,66.3089,23.6773,0.68,97,100,5.09,FI,1733599120
254,bodo,67.28,14.405,4.02,71,100,4.12,NO,1733599121
255,puerto baquerizo moreno,-0.9,-89.6,26.55,69,75,7.2,EC,1733599122
256,ha'il,27.5219,41.6907,18.01,52,0,0.0,SA,1733599123
257,east london,-33.0153,27.9116,21.39,79,52,6.28,ZA,1733599124
258,richards bay,-28.783,32.0377,23.09,79,98,2.41,ZA,1733599125
259,rongelap,11.1635,166.8941,27.73,80,100,10.55,MH,1733599127
260,pandan,14.0453,124.1694,26.68,88,99,3.15,PH,1733599128
261,paracuru,-3.41,-39.0306,28.44,63,100,6.11,BR,1733599129
262,la ronge,55.1001,-105.2842,3.14,81,100,5.14,CA,1733599131
263,mityana,0.4175,32.0228,17.07,71,6,0.26,UG,1733599132
264,ndibene dahra,15.3338,-15.4766,26.04,16,98,4.63,SN,1733599025
265,tegueste,28.5167,-16.3167,17.77,82,40,2.06,ES,1733599135
266,coquimbo,-29.9533,-71.3436,18.85,59,20,7.2,CL,1733598977
267,williams lake,52.1415,-122.1445,3.76,97,75,4.12,CA,1733599137
268,shalya,57.2471,58.7298,-13.09,97,98,2.08,RU,1733599138
269,tezu,27.9167,96.1667,16.59,55,90,1.53,IN,1733599139
270,rocha,-34.4833,-54.3333,15.21,56,99,6.28,UY,1733598738
271,the pas,53.8251,-101.2541,-0.99,86,100,5.66,CA,1733599141
272,puerto santa,-8.9906,-78.6456,21.28,77,18,4.42,PE,1733599142
273,ilulissat,69.2167,-51.1,-0.99,69,100,11.32,GL,1733598918
274,hamilton,39.1834,-84.5333,7.02,43,0,5.66,US,1733598315
275,kharp,66.8014,65.8081,-15.16,90,6,4.16,RU,1733599146
276,sinjar,36.3209,41.8754,12.56,46,100,0.69,IQ,1733599147
277,whakatane,-37.9585,176.9854,18.62,96,100,0.49,NZ,1733599149
278,les cayes,18.2,-73.75,29.26,64,100,2.39,HT,1733599150
279,kamina,-8.7386,24.9906,17.61,97,99,1.36,CD,1733599151
280,fort bragg,35.139,-79.006,10.51,27,0,3.6,US,1733599152
